nomor_kontrak,nama_vendor,jenis_pengadaan,durasi_kontrak,tanggal_mulai,tanggal_berakhir,nilai_kontrak,jenis_encoded,Prioritas,Prioritas_encoded,Prioritas_Prediksi,Prioritas_Prediksi_encoded
KTRK-100423,PT Teknologi Nusantara Internasional,Pembelian,466,2024-02-22 0:00:00,2025-06-02 0:00:00,3297890795,1,Tinggi,2,Tinggi,2
KTRK-100424,PT Komputasi Utama Solusindo,Pembelian,908,2023-01-31 0:00:00,2025-07-27 0:00:00,2333858997,1,Tinggi,2,Sedang,1
KTRK-100425,PT NetSol Internasional,Pengembangan,715,2024-05-09 0:00:00,2026-04-24 0:00:00,4303711610,2,Tinggi,2,Tinggi,2
KTRK-100426,PT Sibernetika Systems,Maintenance,872,2024-06-29 0:00:00,2026-11-18 0:00:00,3055807428,0,Tinggi,2,Tinggi,2
KTRK-100427,PT Aksara Teknologi Tbk,Pembelian,319,2024-07-31 0:00:00,2025-06-15 0:00:00,3702558330,1,Tinggi,2,Tinggi,2
KTRK-100428,PT NetSol Internasional,Pembelian,359,2024-02-03 0:00:00,2025-01-27 0:00:00,4331612727,1,Tinggi,2,Tinggi,2
KTRK-100429,PT Cakrawala Teknologi Corp,Maintenance,903,2024-10-03 0:00:00,2027-03-25 0:00:00,4037351061,0,Tinggi,2,Tinggi,2
KTRK-100430,PT Inovasi Digital Group,Pengembangan,834,2023-09-13 0:00:00,2025-12-25 0:00:00,1020005150,2,Tinggi,2,Sedang,1
KTRK-100431,PT Teknologi Nusantara Systems,Pembelian,902,2024-04-01 0:00:00,2026-09-20 0:00:00,2187829096,1,Tinggi,2,Sedang,1
KTRK-100432,PT Solusi Digital Group,Pembelian,1054,2023-11-24 0:00:00,2026-10-13 0:00:00,1047611130,1,Tinggi,2,Sedang,1
KTRK-100433,PT Digikarya Systems,Pengembangan,300,2024-04-01 0:00:00,2025-01-26 0:00:00,4205373097,2,Tinggi,2,Rendah,0
KTRK-100434,PT Aksara Teknologi Tbk,Maintenance,676,2024-07-17 0:00:00,2026-05-24 0:00:00,4838241450,0,Tinggi,2,Tinggi,2
KTRK-100435,PT Cakrawala Teknologi Tbk,Pengembangan,855,2023-10-14 0:00:00,2026-02-15 0:00:00,2630995297,2,Tinggi,2,Tinggi,2
KTRK-100436,PT Inovasi Digital Internasional,Pembelian,335,2024-08-04 0:00:00,2025-07-05 0:00:00,3274417506,1,Tinggi,2,Tinggi,2
KTRK-100437,PT BitData Solusindo,Pengembangan,617,2023-08-16 0:00:00,2025-04-24 0:00:00,1576420825,2,Tinggi,2,Tinggi,2
KTRK-100438,PT Solusi Digital Group,Pembelian,845,2023-06-16 0:00:00,2025-10-08 0:00:00,3699722775,1,Tinggi,2,Sedang,1
KTRK-100439,PT NetSol Corp,Pengembangan,192,2024-06-23 0:00:00,2025-01-01 0:00:00,1079683330,2,Tinggi,2,Tinggi,2
KTRK-100440,PT Aksara Teknologi Tbk,Pembelian,519,2024-11-23 0:00:00,2026-04-26 0:00:00,2943984926,1,Tinggi,2,Tinggi,2
KTRK-100441,PT Koneksi Global Corp,Maintenance,886,2024-06-07 0:00:00,2026-11-10 0:00:00,4291155334,0,Tinggi,2,Tinggi,2
KTRK-100442,PT Sibernetika Tbk,Maintenance,706,2023-12-06 0:00:00,2025-11-11 0:00:00,3540310800,0,Tinggi,2,Sedang,1
KTRK-100443,PT Digikarya Solusindo,Pengembangan,344,2024-08-03 0:00:00,2025-07-13 0:00:00,3626139142,2,Tinggi,2,Tinggi,2
KTRK-100444,PT Cakrawala Teknologi Corp,Pengembangan,586,2024-07-28 0:00:00,2026-03-06 0:00:00,2683463029,2,Tinggi,2,Tinggi,2
KTRK-100445,PT Solusi Digital Systems,Pengembangan,927,2024-12-17 0:00:00,2027-07-02 0:00:00,4085605233,2,Tinggi,2,Tinggi,2
KTRK-100446,PT Koneksi Global Internasional,Maintenance,726,2024-07-08 0:00:00,2026-07-04 0:00:00,1293172449,0,Tinggi,2,Tinggi,2
KTRK-100447,PT Koneksi Global Internasional,Pengembangan,954,2023-06-10 0:00:00,2026-01-19 0:00:00,1982587448,2,Tinggi,2,Tinggi,2
KTRK-100448,PT NetSol Solusindo,Pengembangan,858,2023-07-15 0:00:00,2025-11-19 0:00:00,4475432334,2,Tinggi,2,Tinggi,2
KTRK-100449,PT Mitra Satu Tbk,Maintenance,974,2024-06-03 0:00:00,2027-02-02 0:00:00,2953168675,0,Tinggi,2,Tinggi,2
KTRK-100450,PT Sibernetika Corp,Maintenance,722,2023-08-25 0:00:00,2025-08-16 0:00:00,3923461065,0,Tinggi,2,Sedang,1
KTRK-100451,PT NetSol Group,Pengembangan,758,2024-07-31 0:00:00,2026-08-28 0:00:00,3936768821,2,Tinggi,2,Tinggi,2
KTRK-100452,PT Komputasi Utama Corp,Pengembangan,813,2024-06-26 0:00:00,2026-09-17 0:00:00,3403613431,2,Tinggi,2,Tinggi,2
KTRK-100453,PT Inovasi Digital Group,Pembelian,590,2023-11-08 0:00:00,2025-06-20 0:00:00,1829454125,1,Tinggi,2,Tinggi,2
KTRK-100454,PT Teknologi Nusantara Internasional,Pembelian,245,2024-07-24 0:00:00,2025-03-26 0:00:00,1342140194,1,Tinggi,2,Tinggi,2
KTRK-100455,PT Teknologi Nusantara Solusindo,Maintenance,673,2023-03-28 0:00:00,2025-01-29 0:00:00,4129300094,0,Tinggi,2,Tinggi,2
KTRK-100456,PT NetSol Internasional,Pembelian,388,2023-11-30 0:00:00,2024-12-22 0:00:00,2368559548,1,Tinggi,2,Tinggi,2
KTRK-100457,PT Digikarya Corp,Maintenance,298,2023-05-09 0:00:00,2024-03-02 0:00:00,3034114912,0,Tinggi,2,Tinggi,2
KTRK-100458,PT Digikarya Solusindo,Pengembangan,601,2024-02-19 0:00:00,2025-10-12 0:00:00,2855224936,2,Tinggi,2,Tinggi,2
KTRK-100459,PT NetSol Systems,Maintenance,1028,2023-09-13 0:00:00,2026-07-07 0:00:00,1948961670,0,Tinggi,2,Tinggi,2
KTRK-100460,PT Inovasi Digital Systems,Maintenance,765,2023-07-27 0:00:00,2025-08-30 0:00:00,2641366152,0,Tinggi,2,Sedang,1
KTRK-100461,PT Koneksi Global Systems,Pengembangan,984,2024-12-23 0:00:00,2027-09-03 0:00:00,1968310241,2,Tinggi,2,Tinggi,2
KTRK-100462,PT Cakrawala Teknologi Corp,Pengembangan,850,2023-03-26 0:00:00,2025-07-23 0:00:00,4886896121,2,Tinggi,2,Tinggi,2
KTRK-100463,PT BitData Group,Pengembangan,285,2024-10-18 0:00:00,2025-07-30 0:00:00,3595978496,2,Tinggi,2,Tinggi,2
KTRK-100464,PT Inovasi Digital Systems,Pengembangan,742,2024-04-02 0:00:00,2026-04-14 0:00:00,4633551639,2,Tinggi,2,Tinggi,2
KTRK-100465,PT Inovasi Digital Internasional,Pengembangan,271,2024-12-17 0:00:00,2025-09-14 0:00:00,4020251641,2,Tinggi,2,Rendah,0
KTRK-100466,PT Cakrawala Teknologi Group,Maintenance,794,2023-01-14 0:00:00,2025-03-18 0:00:00,3428763274,0,Tinggi,2,Sedang,1
KTRK-100467,PT Teknologi Nusantara Group,Pengembangan,195,2024-01-22 0:00:00,2024-08-04 0:00:00,2995075947,2,Tinggi,2,Rendah,0
KTRK-100468,PT Komputasi Utama Systems,Pengembangan,988,2024-10-25 0:00:00,2027-07-10 0:00:00,1632328608,2,Tinggi,2,Tinggi,2
KTRK-100469,PT NetSol Internasional,Pembelian,406,2024-08-06 0:00:00,2025-09-16 0:00:00,3740009888,1,Tinggi,2,Tinggi,2
KTRK-100470,PT Inovasi Digital Systems,Pengembangan,998,2023-03-16 0:00:00,2025-12-08 0:00:00,1667385687,2,Tinggi,2,Tinggi,2
KTRK-100471,PT Komputasi Utama Internasional,Pengembangan,220,2023-06-24 0:00:00,2024-01-30 0:00:00,4898441675,2,Tinggi,2,Rendah,0
KTRK-100472,PT BitData Internasional,Pengembangan,732,2023-04-25 0:00:00,2025-04-26 0:00:00,1816775746,2,Tinggi,2,Tinggi,2
KTRK-100473,PT Teknologi Nusantara Group,Pengembangan,961,2024-02-19 0:00:00,2026-10-07 0:00:00,1148024340,2,Tinggi,2,Sedang,1
KTRK-100474,PT BitData Systems,Pengembangan,1045,2024-12-12 0:00:00,2027-10-23 0:00:00,1085282356,2,Tinggi,2,Sedang,1
KTRK-100475,PT BitData Group,Pengembangan,266,2023-12-22 0:00:00,2024-09-13 0:00:00,4795286390,2,Tinggi,2,Tinggi,2
KTRK-100476,PT Inovasi Digital Corp,Pengembangan,605,2024-05-26 0:00:00,2026-01-21 0:00:00,3999557348,2,Tinggi,2,Tinggi,2
KTRK-100477,PT Digikarya Internasional,Maintenance,1045,2023-09-22 0:00:00,2026-08-02 0:00:00,4389707275,0,Tinggi,2,Tinggi,2
KTRK-100478,PT Aksara Teknologi Systems,Pembelian,700,2023-01-16 0:00:00,2024-12-16 0:00:00,4114862421,1,Tinggi,2,Tinggi,2
KTRK-100479,PT BitData Solusindo,Pembelian,188,2023-12-16 0:00:00,2024-06-21 0:00:00,3881364894,1,Tinggi,2,Tinggi,2
KTRK-100480,PT Solusi Digital Solusindo,Maintenance,1023,2023-09-13 0:00:00,2026-07-02 0:00:00,2670026222,0,Tinggi,2,Tinggi,2
KTRK-100481,PT NetSol Solusindo,Maintenance,375,2024-01-29 0:00:00,2025-02-07 0:00:00,1343257290,0,Tinggi,2,Tinggi,2
KTRK-100482,PT Mitra Satu Corp,Pembelian,879,2024-10-21 0:00:00,2027-03-19 0:00:00,2022143942,1,Tinggi,2,Sedang,1
KTRK-100483,PT Sibernetika Systems,Pengembangan,1078,2024-05-03 0:00:00,2027-04-16 0:00:00,3087874490,2,Tinggi,2,Tinggi,2
KTRK-100484,PT Cakrawala Teknologi Group,Pengembangan,213,2024-05-10 0:00:00,2024-12-09 0:00:00,1710007017,2,Tinggi,2,Sedang,1
KTRK-100485,PT Digikarya Group,Pengembangan,517,2024-03-26 0:00:00,2025-08-25 0:00:00,2339013577,2,Tinggi,2,Tinggi,2
KTRK-100486,PT Solusi Digital Systems,Maintenance,188,2024-02-05 0:00:00,2024-08-11 0:00:00,3906118375,0,Tinggi,2,Tinggi,2
KTRK-100487,PT Mitra Satu Group,Pembelian,1038,2023-09-25 0:00:00,2026-07-29 0:00:00,1344997775,1,Tinggi,2,Sedang,1
KTRK-100488,PT Aksara Teknologi Group,Pengembangan,595,2023-03-15 0:00:00,2024-10-30 0:00:00,3226451805,2,Tinggi,2,Rendah,0
KTRK-100489,PT Digikarya Corp,Pengembangan,749,2024-01-16 0:00:00,2026-02-03 0:00:00,3485440248,2,Tinggi,2,Tinggi,2
KTRK-100490,PT Teknologi Nusantara Corp,Pembelian,1012,2023-09-17 0:00:00,2026-06-25 0:00:00,3752847297,1,Tinggi,2,Tinggi,2
KTRK-100491,PT Digikarya Internasional,Pembelian,856,2023-07-17 0:00:00,2025-11-19 0:00:00,4796626199,1,Tinggi,2,Tinggi,2
KTRK-100492,PT Komputasi Utama Systems,Pengembangan,234,2024-11-23 0:00:00,2025-07-15 0:00:00,3108984672,2,Tinggi,2,Tinggi,2
KTRK-100493,PT Teknologi Nusantara Internasional,Pembelian,1060,2024-08-23 0:00:00,2027-07-19 0:00:00,3289389652,1,Tinggi,2,Tinggi,2
KTRK-100494,PT Inovasi Digital Systems,Maintenance,323,2024-03-21 0:00:00,2025-02-07 0:00:00,2061651376,0,Tinggi,2,Tinggi,2
KTRK-100495,PT Digikarya Tbk,Pengembangan,494,2024-03-29 0:00:00,2025-08-05 0:00:00,4288595496,2,Tinggi,2,Tinggi,2
KTRK-100496,PT Koneksi Global Corp,Maintenance,815,2023-10-21 0:00:00,2026-01-13 0:00:00,2266297317,0,Tinggi,2,Sedang,1
KTRK-100497,PT NetSol Systems,Pembelian,1028,2024-07-22 0:00:00,2027-05-16 0:00:00,3452756249,1,Tinggi,2,Tinggi,2
KTRK-100498,PT Inovasi Digital Solusindo,Maintenance,1035,2024-03-02 0:00:00,2027-01-01 0:00:00,2541251060,0,Tinggi,2,Tinggi,2
KTRK-100499,PT Indoinovasi Solusindo,Pembelian,486,2023-06-15 0:00:00,2024-10-13 0:00:00,4106999297,1,Tinggi,2,Rendah,0
KTRK-100500,PT Sibernetika Group,Pengembangan,1018,2024-11-26 0:00:00,2027-09-10 0:00:00,3606689534,2,Tinggi,2,Tinggi,2
KTRK-100501,PT Aksara Teknologi Solusindo,Pembelian,561,2024-02-25 0:00:00,2025-09-08 0:00:00,2148002124,1,Tinggi,2,Tinggi,2
KTRK-100502,PT Sibernetika Internasional,Maintenance,884,2024-03-25 0:00:00,2026-08-26 0:00:00,3313268649,0,Tinggi,2,Tinggi,2
KTRK-100503,PT BitData Internasional,Maintenance,733,2023-11-01 0:00:00,2025-11-03 0:00:00,1066583005,0,Tinggi,2,Tinggi,2
KTRK-100504,PT BitData Internasional,Pengembangan,470,2024-08-13 0:00:00,2025-11-26 0:00:00,3292121052,2,Tinggi,2,Tinggi,2
KTRK-100505,PT Koneksi Global Systems,Maintenance,476,2024-06-03 0:00:00,2025-09-22 0:00:00,3382958371,0,Tinggi,2,Sedang,1
KTRK-100506,PT Digikarya Solusindo,Pembelian,1071,2023-03-29 0:00:00,2026-03-04 0:00:00,4482148564,1,Tinggi,2,Tinggi,2
KTRK-100507,PT Inovasi Digital Group,Pembelian,532,2024-09-19 0:00:00,2026-03-05 0:00:00,3702521467,1,Tinggi,2,Tinggi,2
KTRK-100508,PT Mitra Satu Corp,Maintenance,958,2023-11-07 0:00:00,2026-06-22 0:00:00,2486460825,0,Tinggi,2,Tinggi,2
KTRK-100509,PT Sibernetika Internasional,Pembelian,885,2023-10-15 0:00:00,2026-03-18 0:00:00,4053615465,1,Tinggi,2,Sedang,1
KTRK-100510,PT Inovasi Digital Group,Maintenance,458,2024-06-05 0:00:00,2025-09-06 0:00:00,4652164090,0,Tinggi,2,Tinggi,2
KTRK-100511,PT NetSol Internasional,Pengembangan,621,2023-06-01 0:00:00,2025-02-11 0:00:00,3128400284,2,Tinggi,2,Tinggi,2
KTRK-100512,PT Komputasi Utama Solusindo,Pengembangan,218,2023-02-10 0:00:00,2023-09-16 0:00:00,3039010729,2,Tinggi,2,Rendah,0
KTRK-100513,PT Komputasi Utama Corp,Pembelian,381,2023-06-04 0:00:00,2024-06-19 0:00:00,4663436508,1,Tinggi,2,Tinggi,2
KTRK-100514,PT Koneksi Global Corp,Maintenance,941,2023-06-12 0:00:00,2026-01-08 0:00:00,2560628018,0,Tinggi,2,Tinggi,2
KTRK-100515,PT Aksara Teknologi Systems,Pembelian,687,2023-02-25 0:00:00,2025-01-12 0:00:00,2320113205,1,Tinggi,2,Sedang,1
KTRK-100516,PT BitData Systems,Maintenance,858,2024-04-01 0:00:00,2026-08-07 0:00:00,1678800564,0,Tinggi,2,Tinggi,2
KTRK-100517,PT BitData Solusindo,Pembelian,218,2024-03-23 0:00:00,2024-10-27 0:00:00,2807297413,1,Tinggi,2,Tinggi,2
KTRK-100518,PT Mitra Satu Solusindo,Pembelian,211,2023-10-03 0:00:00,2024-05-01 0:00:00,2043345623,1,Tinggi,2,Tinggi,2
KTRK-100519,PT Inovasi Digital Tbk,Pembelian,871,2023-11-04 0:00:00,2026-03-24 0:00:00,1290597583,1,Tinggi,2,Sedang,1
KTRK-100520,PT Sibernetika Internasional,Pembelian,463,2023-09-24 0:00:00,2024-12-30 0:00:00,3600552557,1,Tinggi,2,Tinggi,2
KTRK-100521,PT Sibernetika Systems,Pembelian,452,2023-02-02 0:00:00,2024-04-29 0:00:00,1226492454,1,Tinggi,2,Tinggi,2
KTRK-100522,PT Mitra Satu Solusindo,Pembelian,1060,2024-04-13 0:00:00,2027-03-09 0:00:00,2886784633,1,Tinggi,2,Tinggi,2
KTRK-100523,PT Digikarya Tbk,Pembelian,729,2024-02-25 0:00:00,2026-02-23 0:00:00,1381918435,1,Tinggi,2,Sedang,1
KTRK-100524,PT Digikarya Tbk,Pengembangan,603,2024-07-20 0:00:00,2026-03-15 0:00:00,4914403232,2,Tinggi,2,Tinggi,2
KTRK-100525,PT Digikarya Solusindo,Pembelian,952,2024-04-29 0:00:00,2026-12-07 0:00:00,4673722525,1,Tinggi,2,Tinggi,2
KTRK-100526,PT Mitra Satu Systems,Pembelian,452,2024-08-08 0:00:00,2025-11-03 0:00:00,2539556468,1,Tinggi,2,Tinggi,2
KTRK-100527,PT Digikarya Internasional,Pengembangan,969,2023-01-15 0:00:00,2025-09-10 0:00:00,3772396031,2,Tinggi,2,Tinggi,2
KTRK-100528,PT Inovasi Digital Systems,Pengembangan,519,2024-08-31 0:00:00,2026-02-01 0:00:00,3398972056,2,Tinggi,2,Tinggi,2
KTRK-100529,PT Digikarya Internasional,Pembelian,1091,2024-04-05 0:00:00,2027-04-01 0:00:00,2793815358,1,Tinggi,2,Tinggi,2
KTRK-100530,PT Solusi Digital Group,Pembelian,918,2024-01-12 0:00:00,2026-07-18 0:00:00,3952337375,1,Tinggi,2,Sedang,1
KTRK-100531,PT Sibernetika Systems,Maintenance,363,2023-09-03 0:00:00,2024-08-31 0:00:00,3213109243,0,Tinggi,2,Tinggi,2
KTRK-100532,PT Cakrawala Teknologi Group,Pembelian,424,2024-02-02 0:00:00,2025-04-01 0:00:00,1800184044,1,Tinggi,2,Tinggi,2
KTRK-100533,PT Inovasi Digital Solusindo,Pembelian,375,2024-12-07 0:00:00,2025-12-17 0:00:00,4051059266,1,Tinggi,2,Sedang,1
KTRK-100534,PT Cakrawala Teknologi Internasional,Maintenance,786,2024-12-13 0:00:00,2027-02-07 0:00:00,4621390317,0,Tinggi,2,Tinggi,2
KTRK-100535,PT Inovasi Digital Internasional,Maintenance,563,2024-02-20 0:00:00,2025-09-05 0:00:00,1260680840,0,Tinggi,2,Tinggi,2
KTRK-100536,PT Mitra Satu Tbk,Pengembangan,987,2024-12-11 0:00:00,2027-08-25 0:00:00,4493950933,2,Tinggi,2,Tinggi,2
KTRK-100537,PT Komputasi Utama Corp,Pengembangan,302,2023-01-12 0:00:00,2023-11-10 0:00:00,2365440582,2,Tinggi,2,Tinggi,2
KTRK-100538,PT Cakrawala Teknologi Group,Pengembangan,270,2024-07-30 0:00:00,2025-04-26 0:00:00,3032569704,2,Tinggi,2,Tinggi,2
KTRK-100539,PT Cakrawala Teknologi Systems,Pembelian,502,2023-03-04 0:00:00,2024-07-18 0:00:00,1915432848,1,Tinggi,2,Tinggi,2
KTRK-100540,PT Digikarya Corp,Pembelian,1013,2024-01-11 0:00:00,2026-10-20 0:00:00,1068165080,1,Tinggi,2,Sedang,1
KTRK-100541,PT Koneksi Global Solusindo,Maintenance,567,2023-08-25 0:00:00,2025-03-14 0:00:00,1792963328,0,Tinggi,2,Tinggi,2
KTRK-100542,PT Solusi Digital Internasional,Pembelian,791,2024-02-20 0:00:00,2026-04-21 0:00:00,3690420821,1,Tinggi,2,Sedang,1
KTRK-100543,PT Inovasi Digital Internasional,Maintenance,513,2024-12-20 0:00:00,2026-05-17 0:00:00,4083664205,0,Tinggi,2,Tinggi,2
KTRK-100544,PT BitData Solusindo,Pembelian,1015,2023-09-27 0:00:00,2026-07-08 0:00:00,2082963931,1,Tinggi,2,Tinggi,2
KTRK-100545,PT Aksara Teknologi Group,Maintenance,532,2024-05-01 0:00:00,2025-10-15 0:00:00,3677977027,0,Tinggi,2,Tinggi,2
KTRK-100546,PT Solusi Digital Tbk,Pembelian,560,2023-11-13 0:00:00,2025-05-26 0:00:00,4692913441,1,Tinggi,2,Tinggi,2
KTRK-100547,PT Aksara Teknologi Systems,Maintenance,219,2024-09-20 0:00:00,2025-04-27 0:00:00,1273953581,0,Tinggi,2,Tinggi,2
KTRK-100548,PT Sibernetika Corp,Maintenance,268,2024-07-23 0:00:00,2025-04-17 0:00:00,2066242356,0,Tinggi,2,Tinggi,2
KTRK-100549,PT BitData Internasional,Pembelian,974,2024-03-25 0:00:00,2026-11-24 0:00:00,4068815639,1,Tinggi,2,Tinggi,2
KTRK-100550,PT Teknologi Nusantara Corp,Pembelian,519,2023-06-20 0:00:00,2024-11-20 0:00:00,4228346691,1,Tinggi,2,Rendah,0
KTRK-100551,PT Inovasi Digital Solusindo,Pembelian,642,2024-06-22 0:00:00,2026-03-26 0:00:00,4565825089,1,Tinggi,2,Tinggi,2
KTRK-100552,PT Solusi Digital Group,Maintenance,285,2023-05-17 0:00:00,2024-02-26 0:00:00,2372172579,0,Tinggi,2,Tinggi,2
KTRK-100553,PT Sibernetika Tbk,Pembelian,930,2023-03-23 0:00:00,2025-10-08 0:00:00,1669869849,1,Tinggi,2,Sedang,1
KTRK-100554,PT Solusi Digital Solusindo,Pembelian,342,2024-04-05 0:00:00,2025-03-13 0:00:00,2836606548,1,Tinggi,2,Tinggi,2
KTRK-100555,PT Solusi Digital Tbk,Pembelian,657,2023-12-04 0:00:00,2025-09-21 0:00:00,4257223262,1,Tinggi,2,Rendah,0
KTRK-100556,PT Digikarya Systems,Pengembangan,788,2024-01-23 0:00:00,2026-03-21 0:00:00,4091999227,2,Tinggi,2,Tinggi,2
KTRK-100557,PT Solusi Digital Solusindo,Pengembangan,747,2023-10-21 0:00:00,2025-11-06 0:00:00,1611009700,2,Tinggi,2,Tinggi,2
KTRK-100558,PT Digikarya Solusindo,Pembelian,323,2023-05-08 0:00:00,2024-03-26 0:00:00,2114905327,1,Tinggi,2,Tinggi,2
KTRK-100559,PT Mitra Satu Tbk,Maintenance,1007,2023-06-26 0:00:00,2026-03-29 0:00:00,3034001532,0,Tinggi,2,Tinggi,2
KTRK-100560,PT Komputasi Utama Group,Pembelian,925,2023-09-15 0:00:00,2026-03-28 0:00:00,4403808523,1,Tinggi,2,Tinggi,2
KTRK-100561,PT Solusi Digital Solusindo,Maintenance,432,2024-03-26 0:00:00,2025-06-01 0:00:00,3067526437,0,Tinggi,2,Tinggi,2
KTRK-100562,PT NetSol Solusindo,Maintenance,799,2024-02-01 0:00:00,2026-04-10 0:00:00,4784069173,0,Tinggi,2,Tinggi,2
KTRK-100563,PT Cakrawala Teknologi Group,Pengembangan,607,2024-11-08 0:00:00,2026-07-08 0:00:00,3284347174,2,Tinggi,2,Tinggi,2
KTRK-100564,PT Teknologi Nusantara Corp,Pengembangan,806,2023-05-18 0:00:00,2025-08-01 0:00:00,3624178097,2,Tinggi,2,Tinggi,2
KTRK-100565,PT Koneksi Global Solusindo,Pembelian,714,2023-11-26 0:00:00,2025-11-09 0:00:00,3474537232,1,Tinggi,2,Tinggi,2
KTRK-100566,PT Solusi Digital Solusindo,Pembelian,510,2024-05-12 0:00:00,2025-10-04 0:00:00,1343129905,1,Tinggi,2,Tinggi,2
KTRK-100567,PT Digikarya Group,Pengembangan,590,2023-08-05 0:00:00,2025-03-17 0:00:00,2824670528,2,Tinggi,2,Tinggi,2
KTRK-100568,PT Indoinovasi Systems,Pengembangan,372,2024-06-13 0:00:00,2025-06-20 0:00:00,1146783413,2,Tinggi,2,Tinggi,2
KTRK-100569,PT Aksara Teknologi Tbk,Pembelian,521,2023-08-14 0:00:00,2025-01-16 0:00:00,4009916497,1,Tinggi,2,Sedang,1
KTRK-100570,PT NetSol Group,Pembelian,1047,2024-11-04 0:00:00,2027-09-17 0:00:00,1264786829,1,Tinggi,2,Sedang,1
KTRK-100571,PT Koneksi Global Corp,Maintenance,746,2023-09-23 0:00:00,2025-10-08 0:00:00,2504676256,0,Tinggi,2,Sedang,1
KTRK-100572,PT Mitra Satu Internasional,Maintenance,963,2024-10-30 0:00:00,2027-06-20 0:00:00,3466943115,0,Tinggi,2,Tinggi,2
KTRK-100573,PT Koneksi Global Corp,Pengembangan,938,2023-03-18 0:00:00,2025-10-11 0:00:00,2376501651,2,Tinggi,2,Tinggi,2
KTRK-100574,PT Indoinovasi Solusindo,Pembelian,1046,2024-03-12 0:00:00,2027-01-22 0:00:00,621578938,1,Rendah,0,Rendah,0
KTRK-100575,PT BitData Corp,Pembelian,283,2023-01-03 0:00:00,2023-10-13 0:00:00,614424667,1,Rendah,0,Rendah,0
KTRK-100576,PT Komputasi Utama Systems,Pengembangan,199,2024-04-07 0:00:00,2024-10-23 0:00:00,997257800,2,Sedang,1,Sedang,1
KTRK-100577,PT NetSol Solusindo,Maintenance,844,2024-05-14 0:00:00,2026-09-05 0:00:00,570749540,0,Tinggi,2,Tinggi,2
KTRK-100578,PT Indoinovasi Solusindo,Pembelian,932,2023-02-27 0:00:00,2025-09-16 0:00:00,582956093,1,Rendah,0,Rendah,0
KTRK-100579,PT Koneksi Global Internasional,Pembelian,279,2023-04-18 0:00:00,2024-01-22 0:00:00,884743711,1,Rendah,0,Rendah,0
KTRK-100580,PT Inovasi Digital Tbk,Pembelian,287,2023-08-09 0:00:00,2024-05-22 0:00:00,723730163,1,Rendah,0,Rendah,0
KTRK-100581,PT Mitra Satu Solusindo,Maintenance,1021,2023-09-23 0:00:00,2026-07-10 0:00:00,830061406,0,Tinggi,2,Tinggi,2
KTRK-100582,PT Digikarya Solusindo,Pembelian,679,2024-07-29 0:00:00,2026-06-08 0:00:00,636239066,1,Rendah,0,Rendah,0
KTRK-100583,PT Digikarya Corp,Pembelian,1015,2024-09-29 0:00:00,2027-07-11 0:00:00,540859366,1,Rendah,0,Rendah,0
KTRK-100584,PT BitData Solusindo,Pembelian,700,2023-02-04 0:00:00,2025-01-04 0:00:00,957544097,1,Rendah,0,Rendah,0
KTRK-100585,PT NetSol Tbk,Pembelian,269,2024-02-19 0:00:00,2024-11-14 0:00:00,526807987,1,Rendah,0,Rendah,0
KTRK-100586,PT Cakrawala Teknologi Systems,Pengembangan,713,2023-11-08 0:00:00,2025-10-21 0:00:00,925946346,2,Sedang,1,Sedang,1
KTRK-100587,PT Teknologi Nusantara Corp,Maintenance,1023,2023-01-06 0:00:00,2025-10-25 0:00:00,943167208,0,Tinggi,2,Tinggi,2
KTRK-100588,PT Cakrawala Teknologi Solusindo,Pembelian,511,2024-10-15 0:00:00,2026-03-10 0:00:00,983727288,1,Rendah,0,Tinggi,2
KTRK-100589,PT Digikarya Corp,Maintenance,624,2024-07-01 0:00:00,2026-03-17 0:00:00,511522817,0,Tinggi,2,Tinggi,2
KTRK-100590,PT Inovasi Digital Systems,Maintenance,1084,2024-04-01 0:00:00,2027-03-21 0:00:00,961914687,0,Tinggi,2,Tinggi,2
KTRK-100591,PT Solusi Digital Internasional,Pembelian,993,2023-07-24 0:00:00,2026-04-12 0:00:00,671245504,1,Rendah,0,Rendah,0
KTRK-100592,PT Mitra Satu Solusindo,Pengembangan,1017,2024-09-18 0:00:00,2027-07-02 0:00:00,692166445,2,Sedang,1,Sedang,1
KTRK-100593,PT Inovasi Digital Systems,Maintenance,809,2024-04-01 0:00:00,2026-06-19 0:00:00,799600876,0,Tinggi,2,Tinggi,2
KTRK-100594,PT Solusi Digital Solusindo,Pengembangan,272,2024-12-16 0:00:00,2025-09-14 0:00:00,694723280,2,Sedang,1,Sedang,1
KTRK-100595,PT Aksara Teknologi Tbk,Maintenance,444,2024-05-06 0:00:00,2025-07-24 0:00:00,957442064,0,Tinggi,2,Tinggi,2
KTRK-100596,PT Indoinovasi Tbk,Maintenance,642,2024-02-29 0:00:00,2025-12-02 0:00:00,649422735,0,Tinggi,2,Tinggi,2
KTRK-100597,PT Digikarya Solusindo,Pengembangan,260,2023-10-22 0:00:00,2024-07-08 0:00:00,561759661,2,Sedang,1,Sedang,1
KTRK-100598,PT Komputasi Utama Tbk,Maintenance,600,2024-03-17 0:00:00,2025-11-07 0:00:00,574664366,0,Tinggi,2,Tinggi,2
KTRK-100599,PT Mitra Satu Systems,Pengembangan,419,2023-09-26 0:00:00,2024-11-18 0:00:00,793913487,2,Sedang,1,Sedang,1
