nomor_kontrak,nama_vendor,jenis_pengadaan,durasi_kontrak,tanggal_mulai,tanggal_berakhir,nilai_kontrak
KTRK-100238,PT Aksara Teknologi Systems,Maintenance,649,2024-03-02,2025-12-11,"Rp1.599.509.037,00"
KTRK-100239,PT Mitra Satu Tbk,Pembelian,970,2024-05-31,2027-01-26,"Rp1.828.935.513,00"
KTRK-100240,PT Indoinovasi Internasional,Pembelian,526,2023-07-20,2024-12-27,"Rp2.262.361.678,00"
KTRK-100241,PT NetSol Internasional,Pembelian,1012,2024-12-24,2027-10-02,"Rp1.738.751.936,00"
KTRK-100242,PT Indoinovasi Corp,Maintenance,812,2024-01-30,2026-04-21,"Rp4.284.267.909,00"
KTRK-100243,PT Sibernetika Corp,Maintenance,577,2024-01-30,2025-08-29,"Rp4.758.882.865,00"
KTRK-100244,PT Teknologi Nusantara Tbk,Pembelian,584,2023-02-07,2024-09-13,"Rp1.599.355.606,00"
KTRK-100245,PT Indoinovasi Solusindo,Pembelian,565,2023-04-13,2024-10-29,"Rp3.562.998.981,00"
KTRK-100246,PT Sibernetika Tbk,Maintenance,184,2024-12-07,2025-06-09,"Rp1.988.837.280,00"
KTRK-100247,PT BitData Systems,Maintenance,437,2024-10-04,2025-12-15,"Rp2.522.872.376,00"
KTRK-100248,PT Teknologi Nusantara Corp,Pengembangan,477,2023-10-13,2025-02-01,"Rp2.196.559.462,00"
KTRK-100249,PT Inovasi Digital Corp,Pengembangan,1052,2023-07-14,2026-05-31,"Rp2.747.152.225,00"
KTRK-100250,PT Digikarya Internasional,Pengembangan,816,2023-10-23,2026-01-16,"Rp4.866.484.388,00"
KTRK-100251,PT NetSol Solusindo,Pengembangan,525,2024-02-23,2025-08-01,"Rp2.465.855.388,00"
KTRK-100252,PT Komputasi Utama Systems,Pembelian,849,2023-08-19,2025-12-15,"Rp3.635.234.289,00"
KTRK-100253,PT Aksara Teknologi Systems,Maintenance,348,2023-03-22,2024-03-04,"Rp1.939.830.616,00"
KTRK-100254,PT Aksara Teknologi Solusindo,Maintenance,500,2023-09-24,2025-02-05,"Rp2.588.699.062,00"
KTRK-100255,PT Sibernetika Solusindo,Maintenance,203,2023-09-20,2024-04-10,"Rp1.387.068.891,00"
KTRK-100256,PT Digikarya Internasional,Pengembangan,472,2023-09-27,2025-01-11,"Rp1.936.170.201,00"
KTRK-100257,PT Komputasi Utama Internasional,Maintenance,743,2023-06-13,2025-06-25,"Rp2.776.297.431,00"
KTRK-100258,PT Aksara Teknologi Solusindo,Pengembangan,486,2023-03-19,2024-07-17,"Rp2.550.655.441,00"
KTRK-100259,PT BitData Corp,Maintenance,342,2024-03-05,2025-02-10,"Rp1.478.284.074,00"
KTRK-100260,PT Digikarya Internasional,Pengembangan,395,2023-10-29,2024-11-27,"Rp4.446.167.394,00"
KTRK-100261,PT Aksara Teknologi Internasional,Maintenance,263,2023-08-30,2024-05-19,"Rp4.041.229.807,00"
KTRK-100262,PT Sibernetika Corp,Pengembangan,577,2023-08-01,2025-02-28,"Rp1.867.361.668,00"
KTRK-100263,PT Mitra Satu Systems,Pengembangan,840,2024-08-19,2026-12-07,"Rp3.073.936.561,00"
KTRK-100264,PT Mitra Satu Internasional,Pengembangan,465,2024-11-17,2026-02-25,"Rp4.315.237.734,00"
KTRK-100265,PT Koneksi Global Systems,Pengembangan,333,2023-03-03,2024-01-30,"Rp4.855.798.472,00"
KTRK-100266,PT Koneksi Global Corp,Pengembangan,734,2023-12-22,2025-12-25,"Rp4.835.037.245,00"
KTRK-100267,PT Indoinovasi Tbk,Pengembangan,366,2023-01-15,2024-01-16,"Rp1.226.589.307,00"
KTRK-100268,PT NetSol Solusindo,Pengembangan,411,2023-10-27,2024-12-11,"Rp2.686.759.393,00"
KTRK-100269,PT Solusi Digital Corp,Pengembangan,1035,2024-11-13,2027-09-14,"Rp2.833.532.745,00"
KTRK-100270,PT Komputasi Utama Systems,Maintenance,656,2023-03-18,2025-01-02,"Rp1.721.407.445,00"
KTRK-100271,PT Digikarya Systems,Pengembangan,1089,2024-03-17,2027-03-11,"Rp2.903.389.720,00"
KTRK-100272,PT BitData Group,Pembelian,433,2023-08-24,2024-10-30,"Rp1.721.399.099,00"
KTRK-100273,PT Sibernetika Group,Pengembangan,888,2024-04-25,2026-09-30,"Rp2.675.498.232,00"
KTRK-100274,PT Mitra Satu Solusindo,Pengembangan,1015,2023-06-11,2026-03-22,"Rp2.879.765.970,00"
KTRK-100275,PT Mitra Satu Systems,Pengembangan,210,2023-11-18,2024-06-15,"Rp4.745.016.738,00"
KTRK-100276,PT Inovasi Digital Solusindo,Pengembangan,869,2023-11-18,2026-04-05,"Rp2.656.485.468,00"
KTRK-100277,PT Teknologi Nusantara Solusindo,Pembelian,949,2024-07-12,2027-02-16,"Rp1.746.436.776,00"
KTRK-100278,PT Komputasi Utama Internasional,Pembelian,876,2024-12-13,2027-05-08,"Rp4.091.804.997,00"
KTRK-100279,PT Inovasi Digital Group,Pembelian,347,2024-10-07,2025-09-19,"Rp1.519.202.106,00"
KTRK-100280,PT Solusi Digital Systems,Pembelian,561,2024-12-14,2026-06-28,"Rp4.644.652.115,00"
KTRK-100281,PT Mitra Satu Systems,Maintenance,751,2023-03-26,2025-04-15,"Rp4.241.849.915,00"
KTRK-100282,PT Komputasi Utama Internasional,Maintenance,611,2023-03-21,2024-11-21,"Rp2.628.664.408,00"
KTRK-100283,PT Solusi Digital Solusindo,Pengembangan,233,2023-03-17,2023-11-05,"Rp3.854.598.945,00"
KTRK-100284,PT BitData Solusindo,Maintenance,257,2024-07-01,2025-03-15,"Rp1.507.214.790,00"
KTRK-100285,PT Digikarya Internasional,Pembelian,282,2024-01-09,2024-10-17,"Rp3.242.947.109,00"
KTRK-100286,PT Koneksi Global Corp,Maintenance,685,2024-04-14,2026-02-28,"Rp4.095.878.356,00"
KTRK-100287,PT Solusi Digital Group,Pengembangan,408,2023-03-26,2024-05-07,"Rp3.801.799.265,00"
KTRK-100288,PT Teknologi Nusantara Group,Maintenance,281,2024-12-11,2025-09-18,"Rp2.307.856.663,00"
KTRK-100289,PT Cakrawala Teknologi Tbk,Pembelian,798,2023-08-05,2025-10-11,"Rp3.613.098.825,00"
KTRK-100290,PT Solusi Digital Corp,Maintenance,295,2023-12-03,2024-09-23,"Rp3.555.046.179,00"
KTRK-100291,PT NetSol Internasional,Maintenance,775,2023-03-06,2025-04-19,"Rp1.981.034.405,00"
KTRK-100292,PT Komputasi Utama Tbk,Pembelian,754,2024-10-12,2026-11-05,"Rp1.921.959.653,00"
KTRK-100293,PT Inovasi Digital Tbk,Pembelian,453,2024-07-21,2025-10-17,"Rp3.266.028.047,00"
KTRK-100294,PT Teknologi Nusantara Group,Pengembangan,1012,2024-08-11,2027-05-20,"Rp4.007.701.377,00"
KTRK-100295,PT Solusi Digital Solusindo,Maintenance,468,2024-05-29,2025-09-09,"Rp3.457.741.060,00"
KTRK-100296,PT Aksara Teknologi Systems,Pengembangan,630,2023-10-13,2025-07-04,"Rp1.183.764.533,00"
KTRK-100297,PT Inovasi Digital Solusindo,Maintenance,184,2024-12-18,2025-06-20,"Rp1.151.631.108,00"
KTRK-100298,PT Sibernetika Corp,Maintenance,880,2023-11-09,2026-04-07,"Rp4.715.038.717,00"
KTRK-100299,PT Komputasi Utama Tbk,Maintenance,1024,2024-01-08,2026-10-28,"Rp2.835.644.633,00"
KTRK-100300,PT Indoinovasi Solusindo,Maintenance,642,2023-10-13,2025-07-16,"Rp4.656.721.020,00"
KTRK-100301,PT Digikarya Systems,Pembelian,865,2023-01-30,2025-06-13,"Rp4.724.981.202,00"
KTRK-100302,PT Cakrawala Teknologi Corp,Pengembangan,943,2023-07-01,2026-01-29,"Rp3.370.814.633,00"
KTRK-100303,PT Aksara Teknologi Systems,Maintenance,410,2023-08-17,2024-09-30,"Rp2.236.958.877,00"
KTRK-100304,PT Indoinovasi Systems,Maintenance,751,2023-06-14,2025-07-04,"Rp1.980.020.831,00"
KTRK-100305,PT Aksara Teknologi Corp,Pembelian,989,2023-04-28,2026-01-11,"Rp3.020.523.335,00"
KTRK-100306,PT Aksara Teknologi Tbk,Pengembangan,810,2023-11-12,2026-01-30,"Rp3.758.254.041,00"
KTRK-100307,PT Komputasi Utama Tbk,Pengembangan,400,2023-11-03,2024-12-07,"Rp1.094.177.294,00"
KTRK-100308,PT Solusi Digital Solusindo,Pembelian,629,2023-03-30,2024-12-18,"Rp4.535.305.164,00"
KTRK-100309,PT Koneksi Global Corp,Pengembangan,387,2024-02-26,2025-03-19,"Rp4.041.399.627,00"
KTRK-100310,PT Sibernetika Tbk,Maintenance,221,2023-05-23,2023-12-30,"Rp4.268.802.243,00"
KTRK-100311,PT Aksara Teknologi Solusindo,Maintenance,544,2023-08-07,2025-02-01,"Rp3.271.756.417,00"
KTRK-100312,PT Mitra Satu Internasional,Pembelian,362,2024-05-01,2025-04-28,"Rp4.960.522.432,00"
KTRK-100313,PT Koneksi Global Solusindo,Maintenance,255,2023-01-22,2023-10-04,"Rp3.216.690.651,00"
KTRK-100314,PT Digikarya Tbk,Pengembangan,295,2024-10-27,2025-08-18,"Rp3.225.359.191,00"
KTRK-100315,PT Aksara Teknologi Solusindo,Pengembangan,543,2024-10-31,2026-04-27,"Rp1.808.264.376,00"
KTRK-100316,PT Solusi Digital Internasional,Pengembangan,600,2024-05-24,2026-01-14,"Rp3.914.491.069,00"
KTRK-100317,PT Mitra Satu Internasional,Pengembangan,999,2024-12-11,2027-09-06,"Rp3.290.081.251,00"
KTRK-100318,PT NetSol Corp,Pembelian,491,2023-12-31,2025-05-05,"Rp3.723.687.191,00"
KTRK-100319,PT BitData Group,Maintenance,622,2023-02-21,2024-11-04,"Rp4.989.771.190,00"
KTRK-100320,PT Solusi Digital Systems,Maintenance,941,2023-03-29,2025-10-25,"Rp4.240.246.149,00"
KTRK-100321,PT Digikarya Group,Pembelian,717,2024-10-28,2026-10-15,"Rp1.518.883.672,00"
KTRK-100322,PT Sibernetika Solusindo,Maintenance,609,2023-07-23,2025-03-23,"Rp2.597.602.047,00"
KTRK-100323,PT Cakrawala Teknologi Systems,Pembelian,909,2023-02-18,2025-08-15,"Rp2.350.942.725,00"
KTRK-100324,PT Solusi Digital Corp,Pengembangan,951,2024-11-14,2027-06-23,"Rp2.454.317.022,00"
KTRK-100325,PT Indoinovasi Internasional,Pengembangan,972,2024-01-08,2026-09-06,"Rp3.891.881.984,00"
KTRK-100326,PT Digikarya Internasional,Pembelian,438,2023-05-20,2024-07-31,"Rp4.236.316.461,00"
KTRK-100327,PT Mitra Satu Solusindo,Pembelian,804,2024-12-28,2027-03-12,"Rp2.294.949.413,00"
KTRK-100328,PT Indoinovasi Solusindo,Pengembangan,819,2024-06-28,2026-09-25,"Rp3.160.349.808,00"
KTRK-100329,PT Inovasi Digital Corp,Maintenance,654,2023-02-22,2024-12-07,"Rp2.904.574.724,00"
KTRK-100330,PT Solusi Digital Group,Maintenance,543,2024-07-17,2026-01-11,"Rp1.540.441.591,00"
KTRK-100331,PT Komputasi Utama Group,Pembelian,541,2023-04-14,2024-10-06,"Rp4.506.356.524,00"
KTRK-100332,PT NetSol Tbk,Pengembangan,1066,2024-10-18,2027-09-19,"Rp4.312.744.237,00"
KTRK-100333,PT Sibernetika Tbk,Pengembangan,565,2024-10-08,2026-04-26,"Rp4.835.011.843,00"
KTRK-100334,PT Komputasi Utama Tbk,Pengembangan,190,2024-10-13,2025-04-21,"Rp1.352.507.392,00"
KTRK-100335,PT Digikarya Internasional,Pembelian,953,2024-08-29,2027-04-09,"Rp4.653.477.102,00"
KTRK-100336,PT Inovasi Digital Systems,Maintenance,503,2023-02-09,2024-06-26,"Rp2.232.487.289,00"
KTRK-100337,PT Digikarya Internasional,Maintenance,574,2023-06-29,2025-01-23,"Rp4.593.365.741,00"
KTRK-100338,PT Teknologi Nusantara Corp,Pembelian,243,2024-11-09,2025-07-10,"Rp1.575.408.568,00"
KTRK-100339,PT Cakrawala Teknologi Solusindo,Maintenance,408,2024-02-17,2025-03-31,"Rp3.808.191.806,00"
KTRK-100340,PT Mitra Satu Internasional,Pengembangan,730,2023-05-07,2025-05-06,"Rp4.780.505.922,00"
KTRK-100341,PT Sibernetika Solusindo,Pembelian,1005,2024-01-06,2026-10-07,"Rp1.684.540.585,00"
KTRK-100342,PT Komputasi Utama Group,Pembelian,783,2023-02-02,2025-03-26,"Rp4.962.307.855,00"
KTRK-100343,PT Indoinovasi Solusindo,Maintenance,822,2023-10-11,2026-01-10,"Rp2.557.669.015,00"
KTRK-100344,PT Inovasi Digital Corp,Maintenance,356,2024-04-04,2025-03-26,"Rp2.161.693.819,00"
KTRK-100345,PT Inovasi Digital Internasional,Maintenance,718,2024-11-05,2026-10-24,"Rp1.107.705.733,00"
KTRK-100346,PT Inovasi Digital Corp,Pengembangan,664,2023-11-13,2025-09-07,"Rp2.632.689.016,00"
KTRK-100347,PT Teknologi Nusantara Group,Pengembangan,522,2024-04-04,2025-09-08,"Rp2.120.417.829,00"
KTRK-100348,PT NetSol Group,Pembelian,779,2023-05-23,2025-07-10,"Rp3.562.888.572,00"
KTRK-100349,PT Mitra Satu Tbk,Pembelian,481,2024-04-27,2025-08-21,"Rp4.033.256.965,00"
KTRK-100350,PT Indoinovasi Systems,Pembelian,383,2023-10-15,2024-11-01,"Rp3.284.713.341,00"
KTRK-100351,PT Cakrawala Teknologi Corp,Pembelian,980,2024-07-05,2027-03-12,"Rp4.259.908.390,00"
KTRK-100352,PT Solusi Digital Group,Pengembangan,190,2023-03-08,2023-09-14,"Rp1.761.360.817,00"
KTRK-100353,PT BitData Corp,Pengembangan,311,2024-11-14,2025-09-21,"Rp4.786.724.124,00"
KTRK-100354,PT Komputasi Utama Solusindo,Pembelian,1005,2023-01-14,2025-10-15,"Rp4.074.965.137,00"
KTRK-100355,PT Digikarya Solusindo,Pembelian,1045,2023-10-27,2026-09-06,"Rp3.753.229.809,00"
KTRK-100356,PT Mitra Satu Corp,Pembelian,672,2023-02-07,2024-12-10,"Rp3.610.923.776,00"
KTRK-100357,PT Indoinovasi Tbk,Pembelian,758,2024-09-12,2026-10-10,"Rp4.466.043.738,00"
KTRK-100358,PT NetSol Solusindo,Pengembangan,311,2024-09-23,2025-07-31,"Rp2.124.558.947,00"
KTRK-100359,PT Cakrawala Teknologi Tbk,Pembelian,796,2023-03-14,2025-05-18,"Rp3.053.176.067,00"
KTRK-100360,PT Digikarya Group,Maintenance,620,2024-05-23,2026-02-02,"Rp4.008.424.290,00"
KTRK-100361,PT Aksara Teknologi Corp,Pembelian,950,2024-02-20,2026-09-27,"Rp4.812.682.632,00"
KTRK-100362,PT Indoinovasi Group,Pembelian,589,2024-09-13,2026-04-25,"Rp3.166.214.567,00"
KTRK-100363,PT NetSol Solusindo,Pengembangan,368,2023-02-16,2024-02-19,"Rp1.670.558.357,00"
KTRK-100364,PT Teknologi Nusantara Solusindo,Pengembangan,470,2024-04-03,2025-07-17,"Rp4.043.544.009,00"
KTRK-100365,PT Aksara Teknologi Systems,Pembelian,938,2023-01-16,2025-08-11,"Rp3.750.132.140,00"
KTRK-100366,PT Cakrawala Teknologi Corp,Pembelian,406,2024-09-24,2025-11-04,"Rp4.406.257.306,00"
KTRK-100367,PT Digikarya Group,Maintenance,664,2023-10-02,2025-07-27,"Rp1.483.177.947,00"
KTRK-100368,PT Teknologi Nusantara Tbk,Maintenance,1063,2023-03-09,2026-02-04,"Rp4.521.802.648,00"
KTRK-100369,PT Mitra Satu Systems,Maintenance,295,2023-09-02,2024-06-23,"Rp2.709.519.186,00"
KTRK-100370,PT Cakrawala Teknologi Corp,Pengembangan,985,2023-06-18,2026-02-27,"Rp3.287.772.519,00"
KTRK-100371,PT BitData Internasional,Maintenance,942,2024-05-24,2026-12-22,"Rp3.220.939.310,00"
KTRK-100372,PT Cakrawala Teknologi Corp,Maintenance,1011,2023-01-23,2025-10-30,"Rp2.397.656.835,00"
KTRK-100373,PT NetSol Corp,Pengembangan,428,2024-04-21,2025-06-23,"Rp2.201.732.339,00"
KTRK-100374,PT NetSol Internasional,Pengembangan,400,2024-09-09,2025-10-14,"Rp1.793.153.398,00"
KTRK-100375,PT Aksara Teknologi Corp,Pengembangan,456,2023-01-23,2024-04-23,"Rp2.855.405.205,00"
KTRK-100376,PT Indoinovasi Solusindo,Pembelian,795,2024-03-19,2026-05-23,"Rp1.802.917.775,00"
KTRK-100377,PT Koneksi Global Solusindo,Maintenance,454,2024-06-30,2025-09-27,"Rp1.408.433.746,00"
KTRK-100378,PT Inovasi Digital Systems,Maintenance,988,2023-02-27,2025-11-11,"Rp4.691.165.074,00"
KTRK-100379,PT BitData Internasional,Pembelian,259,2023-07-14,2024-03-29,"Rp2.319.419.954,00"
KTRK-100380,PT Cakrawala Teknologi Corp,Maintenance,518,2023-11-20,2025-04-21,"Rp3.668.598.032,00"
KTRK-100381,PT Mitra Satu Solusindo,Pengembangan,990,2024-01-08,2026-09-24,"Rp3.383.214.865,00"
KTRK-100382,PT NetSol Tbk,Pembelian,1013,2024-03-27,2027-01-04,"Rp1.610.045.359,00"
KTRK-100383,PT Mitra Satu Tbk,Pengembangan,899,2023-11-13,2026-04-30,"Rp1.539.680.766,00"
KTRK-100384,PT Mitra Satu Group,Pembelian,758,2024-02-26,2026-03-25,"Rp3.756.962.858,00"
KTRK-100385,PT Teknologi Nusantara Group,Maintenance,285,2024-01-24,2024-11-04,"Rp1.280.576.683,00"
KTRK-100386,PT Teknologi Nusantara Tbk,Maintenance,307,2023-04-04,2024-02-05,"Rp1.179.184.319,00"
KTRK-100387,PT Cakrawala Teknologi Corp,Maintenance,515,2024-05-22,2025-10-19,"Rp1.746.392.256,00"
KTRK-100388,PT Cakrawala Teknologi Tbk,Pembelian,629,2024-11-20,2026-08-11,"Rp2.298.783.663,00"
KTRK-100389,PT Indoinovasi Solusindo,Maintenance,438,2023-09-20,2024-12-01,"Rp1.092.393.948,00"
KTRK-100390,PT Sibernetika Group,Pembelian,728,2023-08-29,2025-08-26,"Rp4.286.341.157,00"
KTRK-100391,PT Mitra Satu Systems,Pembelian,416,2024-01-24,2025-03-15,"Rp1.262.655.062,00"
KTRK-100392,PT Solusi Digital Tbk,Pengembangan,901,2023-10-04,2026-03-23,"Rp2.686.406.670,00"
KTRK-100393,PT Sibernetika Group,Pengembangan,737,2023-10-28,2025-11-03,"Rp4.029.270.732,00"
KTRK-100394,PT Mitra Satu Group,Pembelian,288,2024-04-29,2025-02-11,"Rp1.989.909.414,00"
KTRK-100395,PT Indoinovasi Systems,Pembelian,559,2024-02-13,2025-08-25,"Rp3.819.226.147,00"
KTRK-100396,PT Inovasi Digital Corp,Pengembangan,265,2024-05-19,2025-02-08,"Rp3.771.007.252,00"
KTRK-100397,PT Koneksi Global Group,Maintenance,385,2023-04-09,2024-04-28,"Rp4.171.804.629,00"
KTRK-100398,PT Koneksi Global Solusindo,Pengembangan,742,2023-03-02,2025-03-13,"Rp3.082.241.458,00"
KTRK-100399,PT Sibernetika Systems,Pembelian,686,2023-05-28,2025-04-13,"Rp4.335.825.258,00"
KTRK-100400,PT Komputasi Utama Group,Pembelian,813,2023-08-29,2025-11-19,"Rp4.957.274.091,00"
KTRK-100401,PT Solusi Digital Internasional,Maintenance,443,2024-02-27,2025-05-15,"Rp4.875.063.796,00"
KTRK-100402,PT Mitra Satu Group,Pengembangan,701,2024-05-03,2026-04-04,"Rp1.339.994.376,00"
KTRK-100403,PT BitData Group,Pengembangan,446,2023-11-16,2025-02-04,"Rp3.887.923.357,00"
KTRK-100404,PT Solusi Digital Systems,Pengembangan,227,2023-10-04,2024-05-18,"Rp2.583.898.697,00"
KTRK-100405,PT Digikarya Corp,Pembelian,1050,2024-08-04,2027-06-20,"Rp4.332.627.598,00"
KTRK-100406,PT Solusi Digital Corp,Maintenance,996,2023-07-01,2026-03-23,"Rp1.108.390.048,00"
KTRK-100407,PT Sibernetika Corp,Pengembangan,679,2024-12-01,2026-10-11,"Rp4.739.084.357,00"
KTRK-100408,PT Koneksi Global Systems,Pengembangan,313,2024-02-29,2025-01-07,"Rp3.335.459.937,00"
KTRK-100409,PT Cakrawala Teknologi Tbk,Pembelian,840,2023-08-31,2025-12-18,"Rp1.163.782.661,00"
KTRK-100410,PT Digikarya Corp,Pembelian,713,2024-01-14,2025-12-27,"Rp4.028.561.212,00"
KTRK-100411,PT Indoinovasi Systems,Maintenance,1012,2024-01-02,2026-10-10,"Rp1.465.640.576,00"
KTRK-100412,PT BitData Corp,Maintenance,918,2024-04-30,2026-11-04,"Rp1.960.255.413,00"
KTRK-100413,PT Solusi Digital Tbk,Maintenance,722,2024-03-23,2026-03-15,"Rp2.027.585.200,00"
KTRK-100414,PT Sibernetika Corp,Maintenance,900,2024-03-27,2026-09-13,"Rp3.460.857.384,00"
KTRK-100415,PT Komputasi Utama Tbk,Pembelian,228,2024-12-01,2025-07-17,"Rp4.947.065.649,00"
KTRK-100416,PT BitData Tbk,Pengembangan,251,2023-10-09,2024-06-16,"Rp4.445.230.048,00"
KTRK-100417,PT Koneksi Global Systems,Maintenance,816,2024-03-21,2026-06-15,"Rp1.767.185.769,00"
KTRK-100418,PT Cakrawala Teknologi Internasional,Maintenance,927,2023-12-10,2026-06-24,"Rp4.893.615.075,00"
KTRK-100419,PT Sibernetika Systems,Pengembangan,1074,2023-02-03,2026-01-12,"Rp1.209.876.170,00"
KTRK-100420,PT Cakrawala Teknologi Systems,Maintenance,892,2023-03-22,2025-08-30,"Rp3.287.854.766,00"
KTRK-100421,PT Digikarya Tbk,Pembelian,627,2024-05-26,2026-02-12,"Rp2.931.792.693,00"
KTRK-100422,PT Indoinovasi Systems,Pembelian,255,2023-04-08,2023-12-19,"Rp3.548.312.109,00"
KTRK-100423,PT Teknologi Nusantara Internasional,Pembelian,466,2024-02-22,2025-06-02,"Rp3.297.890.795,00"
KTRK-100424,PT Komputasi Utama Solusindo,Pembelian,908,2023-01-31,2025-07-27,"Rp2.333.858.997,00"
KTRK-100425,PT NetSol Internasional,Pengembangan,715,2024-05-09,2026-04-24,"Rp4.303.711.610,00"
KTRK-100426,PT Sibernetika Systems,Maintenance,872,2024-06-29,2026-11-18,"Rp3.055.807.428,00"
KTRK-100427,PT Aksara Teknologi Tbk,Pembelian,319,2024-07-31,2025-06-15,"Rp3.702.558.330,00"
KTRK-100428,PT NetSol Internasional,Pembelian,359,2024-02-03,2025-01-27,"Rp4.331.612.727,00"
KTRK-100429,PT Cakrawala Teknologi Corp,Maintenance,903,2024-10-03,2027-03-25,"Rp4.037.351.061,00"
KTRK-100430,PT Inovasi Digital Group,Pengembangan,834,2023-09-13,2025-12-25,"Rp1.020.005.150,00"
KTRK-100431,PT Teknologi Nusantara Systems,Pembelian,902,2024-04-01,2026-09-20,"Rp2.187.829.096,00"
KTRK-100432,PT Solusi Digital Group,Pembelian,1054,2023-11-24,2026-10-13,"Rp1.047.611.130,00"
KTRK-100433,PT Digikarya Systems,Pengembangan,300,2024-04-01,2025-01-26,"Rp4.205.373.097,00"
KTRK-100434,PT Aksara Teknologi Tbk,Maintenance,676,2024-07-17,2026-05-24,"Rp4.838.241.450,00"
KTRK-100435,PT Cakrawala Teknologi Tbk,Pengembangan,855,2023-10-14,2026-02-15,"Rp2.630.995.297,00"
KTRK-100436,PT Inovasi Digital Internasional,Pembelian,335,2024-08-04,2025-07-05,"Rp3.274.417.506,00"
KTRK-100437,PT BitData Solusindo,Pengembangan,617,2023-08-16,2025-04-24,"Rp1.576.420.825,00"
KTRK-100438,PT Solusi Digital Group,Pembelian,845,2023-06-16,2025-10-08,"Rp3.699.722.775,00"
KTRK-100439,PT NetSol Corp,Pengembangan,192,2024-06-23,2025-01-01,"Rp1.079.683.330,00"
KTRK-100440,PT Aksara Teknologi Tbk,Pembelian,519,2024-11-23,2026-04-26,"Rp2.943.984.926,00"
KTRK-100441,PT Koneksi Global Corp,Maintenance,886,2024-06-07,2026-11-10,"Rp4.291.155.334,00"
KTRK-100442,PT Sibernetika Tbk,Maintenance,706,2023-12-06,2025-11-11,"Rp3.540.310.800,00"
KTRK-100443,PT Digikarya Solusindo,Pengembangan,344,2024-08-03,2025-07-13,"Rp3.626.139.142,00"
KTRK-100444,PT Cakrawala Teknologi Corp,Pengembangan,586,2024-07-28,2026-03-06,"Rp2.683.463.029,00"
KTRK-100445,PT Solusi Digital Systems,Pengembangan,927,2024-12-17,2027-07-02,"Rp4.085.605.233,00"
KTRK-100446,PT Koneksi Global Internasional,Maintenance,726,2024-07-08,2026-07-04,"Rp1.293.172.449,00"
KTRK-100447,PT Koneksi Global Internasional,Pengembangan,954,2023-06-10,2026-01-19,"Rp1.982.587.448,00"
KTRK-100448,PT NetSol Solusindo,Pengembangan,858,2023-07-15,2025-11-19,"Rp4.475.432.334,00"
KTRK-100449,PT Mitra Satu Tbk,Maintenance,974,2024-06-03,2027-02-02,"Rp2.953.168.675,00"
KTRK-100450,PT Sibernetika Corp,Maintenance,722,2023-08-25,2025-08-16,"Rp3.923.461.065,00"
KTRK-100451,PT NetSol Group,Pengembangan,758,2024-07-31,2026-08-28,"Rp3.936.768.821,00"
KTRK-100452,PT Komputasi Utama Corp,Pengembangan,813,2024-06-26,2026-09-17,"Rp3.403.613.431,00"
KTRK-100453,PT Inovasi Digital Group,Pembelian,590,2023-11-08,2025-06-20,"Rp1.829.454.125,00"
KTRK-100454,PT Teknologi Nusantara Internasional,Pembelian,245,2024-07-24,2025-03-26,"Rp1.342.140.194,00"
KTRK-100455,PT Teknologi Nusantara Solusindo,Maintenance,673,2023-03-28,2025-01-29,"Rp4.129.300.094,00"
KTRK-100456,PT NetSol Internasional,Pembelian,388,2023-11-30,2024-12-22,"Rp2.368.559.548,00"
KTRK-100457,PT Digikarya Corp,Maintenance,298,2023-05-09,2024-03-02,"Rp3.034.114.912,00"
KTRK-100458,PT Digikarya Solusindo,Pengembangan,601,2024-02-19,2025-10-12,"Rp2.855.224.936,00"
KTRK-100459,PT NetSol Systems,Maintenance,1028,2023-09-13,2026-07-07,"Rp1.948.961.670,00"
KTRK-100460,PT Inovasi Digital Systems,Maintenance,765,2023-07-27,2025-08-30,"Rp2.641.366.152,00"
KTRK-100461,PT Koneksi Global Systems,Pengembangan,984,2024-12-23,2027-09-03,"Rp1.968.310.241,00"
KTRK-100462,PT Cakrawala Teknologi Corp,Pengembangan,850,2023-03-26,2025-07-23,"Rp4.886.896.121,00"
KTRK-100463,PT BitData Group,Pengembangan,285,2024-10-18,2025-07-30,"Rp3.595.978.496,00"
KTRK-100464,PT Inovasi Digital Systems,Pengembangan,742,2024-04-02,2026-04-14,"Rp4.633.551.639,00"
KTRK-100465,PT Inovasi Digital Internasional,Pengembangan,271,2024-12-17,2025-09-14,"Rp4.020.251.641,00"
KTRK-100466,PT Cakrawala Teknologi Group,Maintenance,794,2023-01-14,2025-03-18,"Rp3.428.763.274,00"
KTRK-100467,PT Teknologi Nusantara Group,Pengembangan,195,2024-01-22,2024-08-04,"Rp2.995.075.947,00"
KTRK-100468,PT Komputasi Utama Systems,Pengembangan,988,2024-10-25,2027-07-10,"Rp1.632.328.608,00"
KTRK-100469,PT NetSol Internasional,Pembelian,406,2024-08-06,2025-09-16,"Rp3.740.009.888,00"
KTRK-100470,PT Inovasi Digital Systems,Pengembangan,998,2023-03-16,2025-12-08,"Rp1.667.385.687,00"
KTRK-100471,PT Komputasi Utama Internasional,Pengembangan,220,2023-06-24,2024-01-30,"Rp4.898.441.675,00"
KTRK-100472,PT BitData Internasional,Pengembangan,732,2023-04-25,2025-04-26,"Rp1.816.775.746,00"
